protocol,n,speed,alpha,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
UFRPLS,20,fast,0.3,1000.0,73.6,0.0736,0.964014086002248,,,,,,4.293,1.0,1.0,2.49411887384748,1.147075755761982,0.08596274307053497,7.59426645156732,4293.0,1.7547148970042,0.7390888909953259,0.2193381225104714,3.2897591955974397,73.6,50.6,50.6,667.2,389.4
UFRPLS,20,fast,0.5,1000.0,75.6,0.0756,0.8968482830345881,,,,,,5.1044,1.0,1.0,3.21252969976672,1.081920531818752,0.0482991015439056,8.66019306585614,5104.4,2.63550235854408,0.686607764943812,0.45987663143921165,4.30331546353794,75.6,36.8,36.8,763.2,213.6
UFRPLS,20,fast,0.7,1000.0,49.2,0.0492,0.591021563677066,,,,,,8.853200000000001,1.0,1.0,5.935652347993161,1.8369748335654001,0.08346433209612239,11.9577500908938,8853.2,5.60169718003098,1.19479789554889,2.936711933812754,7.788718061634401,49.2,0.0,0.0,875.2,132.2
UFRPLS,20,slow,0.1,1000.0,54.0,0.054000000000000006,1.132359103077798,,,,,,6.7872,1.0,1.0,2.3898961452161402,0.657196228461386,0.020838991965953037,5.56527119686664,6787.2,1.2064588891883399,0.851083286062156,0.11344035003297721,2.7477054585391003,54.0,6.0,6.0,652.8,535.6
UFRPLS,20,slow,0.3,1000.0,83.4,0.0834,1.098564738764968,,,,,,3.6851999999999996,1.0,1.0,2.24717444914172,0.690383883000098,0.0665448845755348,5.35773408853956,3685.2,1.3680760104243401,0.599522932750702,0.09560590084959739,2.72384219437218,83.4,4.6,4.6,613.4,561.6
UFRPLS,20,slow,0.5,1000.0,102.4,0.1024,1.2386577255501598,,,,,,4.1218,1.0,1.0,2.8283656101136,0.665981460826532,0.08417060507346939,5.45740720594182,4121.8,2.5798399259614,0.5007819989372739,0.4445304097637554,3.59262391921674,102.4,10.4,10.4,774.2,188.8
UFRPLS,20,slow,0.7,1000.0,62.6,0.0626,0.361343464463356,,,,,,8.859,1.0,1.0,6.22877827856764,1.68866038703414,0.047887154135918195,9.24061777020012,8859.0,6.68403733601348,1.1905904061466799,3.7840652639275603,8.59497329127684,62.6,0.0,0.0,879.2,86.4
UFRPLS,20,slow,0.9,1000.0,46.0,0.046,0.320693406481662,,,,,,9.777800000000001,1.0,1.0,7.10396127180142,2.4326625150064602,0.030283779599294403,14.1690546411144,9777.8,6.8386394791185,1.13940510237606,4.5427589685314995,8.608224159094181,46.0,0.0,0.0,896.8,84.2
UFRPLS,40,fast,0.3,1000.0,53.8,0.0538,1.38358010656112,,,,,,3.9304,1.0,1.0,2.30884613601978,0.987846949499108,0.11126802081392136,7.4594966359995,3930.4,1.565431076524894,0.72337485007744,0.39739330973000603,3.05536059887932,53.8,73.4,73.4,656.0,357.8
UFRPLS,40,fast,0.5,1000.0,63.2,0.06319999999999999,16.10848988780398,,,,,,4.3294,1.0,1.0,3.0835200679152,0.862408462688516,0.10514391197518642,7.4979915985083405,4329.4,2.65655159409848,0.558636125697214,1.0811603576187916,4.17226684738946,63.2,47.0,47.0,778.6,162.2
UFRPLS,40,fast,0.7,1000.0,59.0,0.059,0.9782336402246161,,,,,,6.7326,1.0,1.0,5.74224508380608,1.4367228725133798,0.0894925657773174,10.210611814087839,6732.6,5.64170162512344,1.000417000751192,2.93279348767271,7.356324934917259,59.0,0.0,0.0,856.0,123.2
UFRPLS,40,slow,0.1,1000.0,53.0,0.053000000000000005,1.45441468919934,,,,,,3.9176,1.0,1.0,1.9547047156070398,0.8613113459889661,0.024265725038340874,4.27766848637056,3917.6,0.8978462916711439,0.780005333733638,0.04515025031250687,2.6447417467006002,53.0,22.4,22.4,601.4,614.6
UFRPLS,40,slow,0.3,1000.0,57.8,0.057800000000000004,1.35583749354518,,,,,,3.8689999999999998,1.0,1.0,2.0899392558097,0.757884145920172,0.1339217661571028,4.33766740120924,3869.0,1.24915043766356,0.53233111782583,0.3289715018056948,2.64740597883912,57.8,20.4,20.4,692.2,426.8
