file,config,protocol,n,speed,alpha,position,rep,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
GPSRCS-40veh-fast-e500-rep1-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,1,1000.0,901.0,0.901,2.3445345047825,,,,,,1.0,0.7284222100054976,0.858,2.4514517204554,1.7487873550088,0.0,9.5765473477669,1000.0,1.2312965867923,2.029623611511,0.0,9.5765473477669,901.0,76,76,11,0
GPSRCS-40veh-fast-e700-rep4-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,4,1000.0,881.0,0.881,6.9028111261317,,,,,,1.0,0.7455778301886793,0.862,2.9219490931089,1.9114608574052,0.0,9.6682118581006,1000.0,1.4403599033903,2.1551246193375,0.0,9.6682118581006,881.0,93,93,4,0
GPSRCS-40veh-fast-e900-rep5-#0.sca,GPSRCS-40veh-fast,GPSRCS,40,fast,,default,5,1000.0,986.0,0.986,0.45017155772921,,,,,,1.048,0.8817635270541082,0.90458015267176,5.1509210589208,3.6326632081406,0.0,15.572834500618,1048.0,4.7949556052486,3.7048377699349,0.0,15.572834500618,986.0,9,9,3,0
GPSRCS-60veh-e100-rep2-#0.sca,GPSRCS-60veh,GPSRCS,60,slow,,default,2,1000.0,958.0,0.958,3.435550648761,,,,,,1.0,0.5633802816901409,0.015,0.013064051514916,0.12786443820779,0.0,1.7836904803557,1000.0,0.01363679698843,0.13061018627941,0.0,1.7836904803557,958.0,34,34,0,0
GPSRCS-60veh-e300-rep3-#0.sca,GPSRCS-60veh,GPSRCS,60,slow,,default,3,1000.0,961.0,0.961,7.0595689647888,,,,,,1.0,0.6585038577658504,0.727,0.85283598503144,1.3314834516567,0.0,7.0898655471286,1000.0,0.64594520456379,1.4041219389221,0.0,7.0898655471286,961.0,32,32,0,0
GPSRCS-60veh-e500-rep1-#0.sca,GPSRCS-60veh,GPSRCS,60,slow,,default,1,1000.0,964.0,0.964,11.517029391665,,,,,,1.0,0.656093489148581,0.822,2.1600822746096,1.664552684892,0.0,8.5302418478407,1000.0,1.112989169858,1.9497155692285,0.0,8.5302418478407,964.0,30,30,0,0
GPSRCS-60veh-e700-rep4-#0.sca,GPSRCS-60veh,GPSRCS,60,slow,,default,4,1000.0,947.0,0.947,3.4816182695998,,,,,,1.0,0.737880307589435,0.862,2.7454482678655,1.5299761223779,0.0,7.8511266166909,1000.0,1.0844117340727,1.6314443018881,0.0,7.8511266166909,947.0,37,37,1,0
GPSRCS-60veh-e900-rep5-#0.sca,GPSRCS-60veh,GPSRCS,60,slow,,default,5,1000.0,958.0,0.958,7.3491605391931,,,,,,1.0,0.8608435735636001,0.905,2.7229157473754,1.5124110499818,0.0,5.0654052947785,1000.0,0.5644225897385,0.61446806844206,0.0,3.9156173111509,958.0,33,33,0,0
GPSRCS-60veh-fast-e100-rep2-#0.sca,GPSRCS-60veh-fast,GPSRCS,60,fast,,default,2,1000.0,949.0,0.949,2.4081239008851,,,,,,1.0,0.5444444444444444,0.373,1.0966523532313,1.8721682992929,0.0,8.3440187038559,1000.0,1.1555873058285,1.9040479786339,0.0,8.3440187038559,949.0,44,44,0,0
GPSRCS-60veh-fast-e300-rep3-#0.sca,GPSRCS-60veh-fast,GPSRCS,60,fast,,default,3,1000.0,942.0,0.942,0.58757196293418,,,,,,1.0,0.37607402511566423,0.317,0.46327124735837,1.2286397932237,0.0,8.4536891415133,1000.0,0.43842892990936,1.2702774914945,0.0,8.4536891415133,942.0,39,39,0,0
GPSRCS-60veh-fast-e500-rep1-#0.sca,GPSRCS-60veh-fast,GPSRCS,60,fast,,default,1,1000.0,1000.0,1.0,0.23951047347600002,,,,,,1.0,0.9471585244267199,0.947,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,0,0,0,0
GPSRCS-60veh-fast-e700-rep4-#0.sca,GPSRCS-60veh-fast,GPSRCS,60,fast,,default,4,1000.0,953.0,0.953,0.53386862673347,,,,,,1.0,0.904885993485342,0.914,4.069154580504,2.7965367389737,0.0,12.627317518276,1000.0,3.7126547542705,3.1424321594622,0.0,12.627317518276,953.0,39,39,1,0
GPSRCS-60veh-fast-e900-rep5-#0.sca,GPSRCS-60veh-fast,GPSRCS,60,fast,,default,5,1000.0,939.0,0.939,4.047227036240701,,,,,,1.0,0.8689477081988379,0.877,4.5294406061817,3.6809014114082,0.0,16.094195511738,1000.0,4.289475298751,3.9348626039108,0.0,16.094195511738,939.0,39,39,0,0
GPSRCS-80veh-e100-rep2-#0.sca,GPSRCS-80veh,GPSRCS,80,slow,,default,2,1000.0,968.0,0.968,6.9267077519153,,,,,,1.0,0.6120985344558778,0.066,0.12613946599549,0.60936898695823,0.0,4.9515999690972,1000.0,0.13030936569782,0.61893029345115,0.0,4.9515999690972,968.0,25,25,2,0
GPSRCS-80veh-e300-rep3-#0.sca,GPSRCS-80veh,GPSRCS,80,slow,,default,3,1000.0,966.0,0.966,4.619040065882,,,,,,1.0,0.6364779874213836,0.314,0.42190342328307,1.0638322217374,0.0,7.2307737865507,1000.0,0.38251669223186,1.0871114510396,0.0,7.2307737865507,966.0,22,22,1,0
GPSRCS-80veh-e500-rep1-#0.sca,GPSRCS-80veh,GPSRCS,80,slow,,default,1,1000.0,962.0,0.962,16.874880737299,,,,,,1.0,0.7256778309409888,0.819,2.2228856315314,1.7816884584917,0.0,9.1253689956675,1000.0,1.3714057622813,2.0649153061286,0.0,9.1253689956675,962.0,27,27,0,0
GPSRCS-80veh-e700-rep4-#0.sca,GPSRCS-80veh,GPSRCS,80,slow,,default,4,1000.0,958.0,0.958,4.0293566990428,,,,,,1.0,0.8393866020984665,0.883,2.5709163122608,1.4492910405701,0.0,7.6224647113505,1000.0,1.2083955298199,1.414088576956,0.0,7.6224647113505,958.0,29,29,1,0
GPSRCS-80veh-e900-rep5-#0.sca,GPSRCS-80veh,GPSRCS,80,slow,,default,5,1000.0,963.0,0.963,1.4809196555618,,,,,,1.0,0.7522236340533672,0.862,2.891765898266,1.6428204537492,0.0,7.3368615607254,1000.0,1.2701144485716,1.6502378426896,0.0,7.3368615607254,963.0,28,28,0,0
GPSRCS-80veh-fast-e100-rep2-#0.sca,GPSRCS-80veh-fast,GPSRCS,80,fast,,default,2,1000.0,927.0,0.927,0.65292311554369,,,,,,1.0,0.328258221680877,0.047,0.086139146749459,0.45603004544291,0.0,3.8486311592214,1000.0,0.092922488402868,0.4729978009919,0.0,3.8486311592214,927.0,58,58,0,0
GPSRCS-80veh-fast-e300-rep3-#0.sca,GPSRCS-80veh-fast,GPSRCS,80,fast,,default,3,1000.0,1000.0,1.0,0.24496211291199999,,,,,,1.0,0.9332003988035892,0.933,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,0,0,0,0
GPSRCS-80veh-fast-e500-rep1-#0.sca,GPSRCS-80veh-fast,GPSRCS,80,fast,,default,1,1000.0,1000.0,1.0,0.236399983072,,,,,,1.0,0.94,0.94,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,0,0,0,0
GPSRCS-80veh-fast-e700-rep4-#0.sca,GPSRCS-80veh-fast,GPSRCS,80,fast,,default,4,1000.0,953.0,0.953,3.3706118374533003,,,,,,1.0,0.845225027442371,0.842,2.8886405911817,2.168181529217,0.0,11.551730531514,1000.0,2.7552200585768,2.3008357425447,0.0,11.551730531514,953.0,31,31,0,0
GPSRCS-80veh-fast-e900-rep5-#0.sca,GPSRCS-80veh-fast,GPSRCS,80,fast,,default,5,1000.0,907.0,0.907,3.7529666864719,,,,,,1.0,0.8311393554244212,0.865,3.5806742047999,2.8606733458778,0.0,15.060373760359,1000.0,3.3019896265211,3.1685726357243,0.0,15.060373760359,907.0,72,72,3,0
UFRPLS-100veh-a01-e100-rep2-#0.sca,UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,default,2,1000.0,19.0,0.019,55.329442378894996,,,,,,2.999,1.0,1.0,1.1112839552511,1.208108177627,0.0049872263744604,6.7083506862777,2999.0,0.37410611648618,0.24672997056516,0.086183738948421,1.081345778523,19.0,4,4,516,729
UFRPLS-100veh-a01-e300-rep3-#0.sca,UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,default,3,1000.0,22.0,0.022,1.5723346874091,,,,,,1.57,1.0,1.0,0.48773401411695,0.2126019233168,0.038720781857126,1.8596577890967,1570.0,0.31025742257914,0.17912198528061,0.0092211483291678,0.59523749781442,22.0,11,11,458,996
UFRPLS-100veh-a01-e500-rep1-#0.sca,UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,default,1,1000.0,22.0,0.022,2.6986648504545,,,,,,2.413,1.0,1.0,1.6677856347694,0.65758044796303,0.08621837891954,5.1417774237639,2413.0,0.79134269786666,0.71967316854169,0.033204778620856,2.260874395339,22.0,29,29,539,773
UFRPLS-100veh-a01-e700-rep4-#0.sca,UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,default,4,1000.0,8.0,0.008,2.048980131,,,,,,2.676,1.0,1.0,2.304232599926,1.010862161829,0.04826687455855,4.5862077924724,2676.0,0.99507851147392,0.5893056693648,0.30372308279462,1.7945654795166,8.0,31,31,654,577
UFRPLS-100veh-a01-e900-rep5-#0.sca,UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,default,5,1000.0,14.0,0.014,2.5417701276429003,,,,,,3.129,1.0,1.0,2.7079020826991,1.4056752866581,0.030773315959713,4.6445079471705,3129.0,1.0625955593429,0.8712660434487,0.078422718538313,2.1859623128318,14.0,57,57,748,292
UFRPLS-100veh-a03-e100-rep2-#0.sca,UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,default,2,1000.0,16.0,0.016,1.404560125875,,,,,,4.04,1.0,1.0,1.4600044646309,1.003005001603,0.0025446876756092,5.4806969394093,4040.0,1.0874288387577,0.45858804102106,0.28621715548064,1.850213188364,16.0,0,0,576,623
