config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
UFRPLS-40veh-a05,UFRPLS,40,slow,0.5,e900,2.5682627819116,0.71944896292955,0.0507187415974,3.6981173022593,87.0,3.3735912774553,0.8702311421696,0.013311701455962,5.8349736224352,4197.0,0.0023304336151379,4197,1.0,1,1000.0,87.0,0.087,5,UFRPLS-40veh-a05-e900-rep5-#0.sca
UFRPLS-40veh-a05-fast,UFRPLS,40,fast,0.5,e900,3.0902141854852,0.97313859361129,0.092775661596008,5.9220998306405,144.0,3.5855975872689,0.89541616269946,0.13481931947074,7.3091103901483,3854.0,0.0012825724999028,3854,1.0,1,1000.0,144.0,0.144,5,UFRPLS-40veh-a05-fast-e900-rep5-#0.sca
UFRPLS-40veh-a07,UFRPLS,40,slow,0.7,e900,5.2725758755097,1.4042831196885,1.9894844945249,7.2365323721039,32.0,6.0927222824421,1.5493040395942,0.09238623850429,8.9650747652561,7223.0,0.00117137076975,7223,1.0,1,1000.0,32.0,0.032,5,UFRPLS-40veh-a07-e900-rep5-#0.sca
UFRPLS-40veh-a07-fast,UFRPLS,40,fast,0.7,e900,6.1398009842004,1.3661218763774,0.24809499952844,7.9920713090031,174.0,6.2513857388596,1.2441041328518,0.23157394641764,10.76815404754,5565.0,0.00095588617852874,5565,1.0,1,1000.0,174.0,0.174,5,UFRPLS-40veh-a07-fast-e900-rep5-#0.sca
UFRPLS-40veh-a09,UFRPLS,40,slow,0.9,e900,5.517537276169,1.842441983021,0.6414262038928,8.3496459961066,30.0,8.4495677286198,2.7066167118731,0.13232459810571,15.542910278309,8536.0,0.00050122552163333,8536,1.0,1,1000.0,30.0,0.03,5,UFRPLS-40veh-a09-e900-rep5-#0.sca
UFRPLS-60veh-a01,UFRPLS,60,slow,0.1,e900,0.37042141804111,0.22279141216516,0.014945458306983,0.97890496673058,89.0,2.8331487981025,1.3341208233396,0.038328534824338,5.1317214972539,3992.0,0.013512257845461,3992,1.0,1,1000.0,89.0,0.089,5,UFRPLS-60veh-a01-e900-rep5-#0.sca
UFRPLS-60veh-a03,UFRPLS,60,slow,0.3,e900,0.98129115561396,0.36335745261066,0.076000933271359,2.3266891046553,148.0,3.130753161754,1.2040180620236,0.14645562342718,6.496967358285,4050.0,0.0023122096858446,4050,1.0,1,1000.0,148.0,0.148,5,UFRPLS-60veh-a03-e900-rep5-#0.sca
UFRPLS-60veh-a03-fast,UFRPLS,60,fast,0.3,e900,1.7289751380533,0.91535532062183,0.41097458831,3.9922865978012,82.0,2.9267028409663,1.2118231207394,0.11915127927404,5.0927958577221,2915.0,0.05350688675322,2915,1.0,1,1000.0,82.0,0.082,5,UFRPLS-60veh-a03-fast-e900-rep5-#0.sca
UFRPLS-60veh-a05,UFRPLS,60,slow,0.5,e900,2.0628436929215,0.80160887822077,0.11825440577519,4.024355080849,84.0,3.5390985482773,0.74676356886086,0.066657169360674,5.2839474770743,3600.0,0.0026657707881667,3600,1.0,1,1000.0,84.0,0.084,5,UFRPLS-60veh-a05-e900-rep5-#0.sca
UFRPLS-60veh-a05-fast,UFRPLS,60,fast,0.5,e900,2.7936332747208,0.37210777552746,1.5629393061561,3.9357021574154,92.0,3.422363941971,0.79851336807212,0.24883075566256,5.1467516527879,3360.0,0.0018241832462283,3360,1.0,1,1000.0,92.0,0.092,5,UFRPLS-60veh-a05-fast-e900-rep5-#0.sca
UFRPLS-60veh-a07,UFRPLS,60,slow,0.7,e900,2.8143221018518,1.3479416694194,0.059934830313559,5.3631695839605,27.0,6.2353091868344,1.2211611660114,0.13695938993629,8.4200842091869,6225.0,0.0011080801283704,6225,1.0,1,1000.0,27.0,0.027,5,UFRPLS-60veh-a07-e900-rep5-#0.sca
UFRPLS-60veh-a07-fast,UFRPLS,60,fast,0.7,e900,6.185776752425,0.99873983698927,1.1685841762422,7.2393372759338,128.0,6.4677042548514,1.2623045056041,0.69016945458461,10.160254639619,5349.0,0.0017283562231328,5349,1.0,1,1000.0,128.0,0.128,5,UFRPLS-60veh-a07-fast-e900-rep5-#0.sca
UFRPLS-60veh-a09,UFRPLS,60,slow,0.9,e900,2.7441608519383,1.2499215247644,0.038510041310957,4.8872139630372,32.0,10.112486280818,3.4318718238968,0.10290088721761,16.609498324706,8641.0,0.00116964484325,8641,1.0,1,1000.0,32.0,0.032,5,UFRPLS-60veh-a09-e900-rep5-#0.sca
UFRPLS-80veh-a01,UFRPLS,80,slow,0.1,e900,0.78078217538749,0.80526392562989,0.1096450411072,2.4543982233213,30.0,2.8590659577476,1.3628709337563,0.043913501685402,4.8502303570958,3431.0,0.061797096907667,3431,1.0,1,1000.0,30.0,0.03,5,UFRPLS-80veh-a01-e900-rep5-#0.sca
UFRPLS-80veh-a03,UFRPLS,80,slow,0.3,e900,1.35352827794,0.47979372494327,0.25578289438741,2.3254349274993,43.0,2.8907473029964,1.2146916629881,0.014409976881275,5.3243846754363,3163.0,0.0023965418543953,3163,1.0,1,1000.0,43.0,0.043,5,UFRPLS-80veh-a03-e900-rep5-#0.sca
UFRPLS-80veh-a03-fast,UFRPLS,80,fast,0.3,e900,2.3566336104293,1.0832471996481,0.36446118645054,4.3165396332159,47.0,3.0025145766488,1.1374774441102,0.35420132891227,5.8219600458779,2620.0,0.0016572687508298,2620,1.0,1,1000.0,47.0,0.047,5,UFRPLS-80veh-a03-fast-e900-rep5-#0.sca
UFRPLS-80veh-a05,UFRPLS,80,slow,0.5,e900,2.7311435571062,0.23225746258276,1.3930867650191,3.0032079780581,58.0,3.3138326152525,0.86682976734917,0.023800259003274,4.989407203097,2955.0,0.020587743293534,2955,1.0,1,1000.0,58.0,0.058,5,UFRPLS-80veh-a05-e900-rep5-#0.sca
UFRPLS-80veh-a05-fast,UFRPLS,80,fast,0.5,e900,2.9942210869762,0.43062466811636,2.3524467814296,4.2776847564244,59.0,3.3349412902276,0.72550683127939,0.25386300596169,5.982278657873,2940.0,0.019453346468356,2940,1.0,1,1000.0,59.0,0.059,5,UFRPLS-80veh-a05-fast-e900-rep5-#0.sca
UFRPLS-80veh-a07,UFRPLS,80,slow,0.7,e900,6.5943727312244,0.43802680029768,5.5279460455301,7.2873717485408,25.0,6.246177993202,1.338019168059,0.16100494049432,9.4674179410954,5391.0,0.0005636384648,5391,1.0,1,1000.0,25.0,0.025,5,UFRPLS-80veh-a07-e900-rep5-#0.sca
UFRPLS-80veh-a07-fast,UFRPLS,80,fast,0.7,e900,6.6124556285079,0.20947910710467,6.0648519979326,7.3474179270541,51.0,6.4295163008584,1.1292716830066,0.33068340061195,9.3991149225284,4198.0,0.0015823615277059,4198,1.0,1,1000.0,51.0,0.051,5,UFRPLS-80veh-a07-fast-e900-rep5-#0.sca
UFRPLS-80veh-a09,UFRPLS,80,slow,0.9,e900,6.5431648078955,0.77721169666688,4.0765100156151,7.7195568511687,30.0,10.151500542536,3.1812682788097,0.66044239036894,16.102612941991,8015.0,0.00082315682533333,8015,1.0,1,1000.0,30.0,0.03,5,UFRPLS-80veh-a09-e900-rep5-#0.sca
