config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr
GPSRCS-80veh-fast,GPSRCS,80,fast,,e500,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,0.000236399983072,1000,0.94,1,1000.0,1000.0,1.0
GPSRCS-80veh-fast,GPSRCS,80,fast,,e700,2.7552200585768,2.3008357425447,0.0,11.551730531514,953.0,2.8886405911817,2.168181529217,0.0,11.551730531514,1000.0,0.0033706118374533,1000,0.842,1,1000.0,953.0,0.953
GPSRCS-80veh-fast,GPSRCS,80,fast,,e900,3.3019896265211,3.1685726357243,0.0,15.060373760359,907.0,3.5806742047999,2.8606733458778,0.0,15.060373760359,1000.0,0.0037529666864719,1000,0.865,1,1000.0,907.0,0.907
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e100,0.37410611648618,0.24672997056516,0.086183738948421,1.081345778523,19.0,1.1112839552511,1.208108177627,0.0049872263744604,6.7083506862777,2999.0,0.055329442378895,2999,1.0,1,1000.0,19.0,0.019
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e300,0.31025742257914,0.17912198528061,0.0092211483291678,0.59523749781442,22.0,0.48773401411695,0.2126019233168,0.038720781857126,1.8596577890967,1570.0,0.0015723346874091,1570,1.0,1,1000.0,22.0,0.022
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e500,0.79134269786666,0.71967316854169,0.033204778620856,2.260874395339,22.0,1.6677856347694,0.65758044796303,0.08621837891954,5.1417774237639,2413.0,0.0026986648504545,2413,1.0,1,1000.0,22.0,0.022
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e700,0.99507851147392,0.5893056693648,0.30372308279462,1.7945654795166,8.0,2.304232599926,1.010862161829,0.04826687455855,4.5862077924724,2676.0,0.002048980131,2676,1.0,1,1000.0,8.0,0.008
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e900,1.0625955593429,0.8712660434487,0.078422718538313,2.1859623128318,14.0,2.7079020826991,1.4056752866581,0.030773315959713,4.6445079471705,3129.0,0.0025417701276429,3129,1.0,1,1000.0,14.0,0.014
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e100,1.0874288387577,0.45858804102106,0.28621715548064,1.850213188364,16.0,1.4600044646309,1.003005001603,0.0025446876756092,5.4806969394093,4040.0,0.001404560125875,4040,1.0,1,1000.0,16.0,0.016
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e300,1.0385836641185,0.29150300319246,0.14302606097757,1.2877627652176,21.0,1.2277364110852,0.20397248256584,0.40533890922648,2.9977044753526,1468.0,0.0018188002234286,1468,1.0,1,1000.0,21.0,0.021
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e500,1.3526365732239,0.3426184990782,0.96327042815768,2.2881976539936,24.0,1.7295395254971,0.45172517750704,0.45720996097935,4.4997817924589,2469.0,0.044883854138125,2469,1.0,1,1000.0,24.0,0.024
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e700,1.3815163480505,0.45937081941747,0.73847041946438,2.698212249976,18.0,2.3615098104939,0.84129684956391,0.15568639402603,3.7490584168411,2657.0,0.099298560061833,2657,1.0,1,1000.0,18.0,0.018
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e900,1.5052867142055,0.42539950706708,1.0590240201046,2.2680740428476,20.0,2.7653798203914,1.1846728036447,0.089148455777455,5.086382525112,3566.0,0.0038786140752,3566,1.0,1,1000.0,20.0,0.02
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e100,1.1357627884221,0.30328730840943,0.54030228644517,1.7507462534327,19.0,1.2667667809148,0.66153595772088,0.0083624334893315,5.6377459366106,2583.0,0.0012154493890526,2583,1.0,1,1000.0,19.0,0.019
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e300,1.6112444964638,0.54816688111863,1.0196602596389,2.6327563602905,17.0,1.8750499894556,0.56779685511104,0.01237114640174,3.9822824061438,1877.0,0.0013832504569412,1877,1.0,1,1000.0,17.0,0.017
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e500,1.8777532221849,0.85102186583092,0.03464303470038,3.4164420852481,80.0,2.5219639088269,0.83848105215755,0.57813558893443,6.1165336718459,2100.0,0.001499372630275,2100,1.0,1,1000.0,80.0,0.08
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e700,1.0915483944822,0.24749537556233,0.072156662339225,1.993226732178,71.0,2.6668322811099,0.94717286882009,0.41278039175307,4.5424291732184,2287.0,0.010556486838408,2287,1.0,1,1000.0,71.0,0.071
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e900,1.6742331068595,0.81861659842455,1.0208335266756,3.2945450167965,14.0,2.928999836437,1.209177123517,0.047885746770412,5.8006212409412,2531.0,0.0033257828325,2531,1.0,1,1000.0,14.0,0.014
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e100,1.764146603619,0.85821779669545,0.057296457109594,2.9632416243797,14.0,2.3562870084434,1.2347523875023,0.012329268235355,7.4110342382198,5518.0,0.00075991781978571,5518,1.0,1,1000.0,14.0,0.014
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e300,2.6786111400942,0.42648025335035,0.54986672159624,3.278158505793,35.0,2.8071937213968,0.47611305727671,0.22373920286752,5.1234330086592,2423.0,0.0021535080679714,2423,1.0,1,1000.0,35.0,0.035
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e500,2.8149463490526,0.079507821169054,2.5961598432326,2.9586331140822,36.0,2.8862027979154,0.31797663942279,0.48008327160524,5.6963849117879,1775.0,0.0023814610679444,1775,1.0,1,1000.0,36.0,0.036
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e700,2.803456513785,0.11227837184607,2.4983671448134,2.9941359008676,45.0,2.9566289226123,0.34927023327211,0.21861612365874,4.80348673092,2338.0,0.002504007166,2338,1.0,1,1000.0,45.0,0.045
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e900,2.7747283970741,0.096617986976181,2.447289525022,2.9106220061344,43.0,3.4246405142216,0.67823142216697,0.17241490538875,4.7375699326235,3121.0,0.14396184454653,3121,1.0,1,1000.0,43.0,0.043
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e100,2.0131094180621,1.0372865862126,0.054824401581634,3.2069360143705,10.0,2.2787716196683,1.0316225891094,0.0033433693026907,5.521386488108,4009.0,0.0011119055726,4009,1.0,1,1000.0,10.0,0.01
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e300,2.7217577524364,0.51828714863489,0.08150137299603,2.9875191433722,30.0,2.8792325662664,0.27965783575278,0.063803158121956,4.6136164492738,1869.0,0.035657616888567,1869,1.0,1,1000.0,30.0,0.03
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e500,2.7592899333737,0.34236469494361,0.76001427340401,3.3982607784909,77.0,2.9922525775844,0.36857074031797,0.37985012759886,4.6964019873763,1964.0,0.028302502713286,1964,1.0,1,1000.0,77.0,0.077
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e700,2.5199374656105,0.65425641994649,0.039974713700481,3.5338849827625,58.0,3.163762894753,0.5079896325142,0.58039722287945,6.722172497032,2175.0,0.038553127872741,2175,1.0,1,1000.0,58.0,0.058
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e900,2.7978258912771,0.55077754558977,0.15007328684183,3.6711818066094,32.0,3.45051001947,0.70905791303371,0.28420751410552,5.9635589826005,2272.0,0.097965118098938,2272,1.0,1,1000.0,32.0,0.032
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e100,1.4393164252452,1.6164543467046,0.29072271004735,4.6346657945619,6.0,2.9777637442958,1.6685065657101,0.013897797364159,7.6293735348345,7009.0,0.0014510248416667,7009,1.0,1,1000.0,6.0,0.006
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e300,5.4717834349024,1.3687862389534,2.7896170608918,6.8818744181478,22.0,6.2539326087142,1.1238021906506,0.19509577491895,10.058320180424,7106.0,0.00098856609672727,7106,1.0,1,1000.0,22.0,0.022
