file,config,alpha,rep,vehicle,role,mean,std,min,max,count
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,65,relay,4.6742693591312,4.7056740124865,0.0,14.860988907924,13.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,66,relay,4.2109190643225,2.8078816085995,0.0,10.633640453909,31.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,67,relay,4.6269607239977,2.6371037646694,2.3213576650592,13.357931333923,17.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,68,relay,2.1784050466903,2.4259336269976,0.0,7.9154930143898,18.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,69,relay,3.7342975885486,1.8625136410689,0.0,7.1077834974061,31.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,70,relay,5.1555527092628,4.6371170729553,0.0,13.358191810915,13.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,71,relay,6.0529271053987,3.5368994683994,1.6250256392019,15.56599578984,29.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,72,relay,3.0571171290617,1.4143978539884,0.39797984318664,8.4363272745597,24.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,73,relay,5.0412373651433,3.7661471153894,0.0,14.045591598422,19.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,74,relay,5.5849815925931,3.5848886582992,0.0,10.500196159376,15.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,75,relay,4.0324827822609,1.1865804704321,2.8897703151301,7.0203931766056,25.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,76,relay,3.6640562368386,1.8255703025167,0.0,10.669306255848,42.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,77,relay,3.5619063598617,1.2377751632207,1.58818904031,5.4699704332222,12.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,78,relay,4.5293648216277,2.6947597877578,0.0,11.63007901879,36.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,79,relay,3.1680017593127,1.9313077373668,0.0,7.727091734457,17.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,80,relay,3.2986062788609,1.9177106973507,0.0,8.2012477110051,25.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,81,relay,1.3246656530828,0.92731972431575,0.0,2.1404164241877,7.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,82,relay,0.85931473240851,1.0686438265534,0.0,2.0878256380692,5.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,83,relay,1.7182694636055,0.7197598679409,0.0,2.3639736318495,13.0
